Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,49,24,678,87,149,0.584,11,29,0.379,76,120,0.633,0.621,38,51,0.745,51,94,145,20,21,18,20,87,223
2,Jordan Adams,SG,21,MEM,2,0,15,2,6,0.333,0,1,0,2,5,0.4,0.333,3,5,0.6,0,2,2,3,3,0,2,2,7
3,Steven Adams,C,22,OKC,70,70,1730,221,362,0.61,0,0,,221,362,0.61,0.61,99,167,0.593,181,270,451,50,34,78,69,191,541
4,Arron Afflalo,SG,30,NYK,62,57,2114,329,726,0.453,83,212,0.392,246,514,0.479,0.51,102,118,0.864,20,218,238,129,22,9,72,127,843
5,Alexis Ajinca,C,27,NOP,50,10,630,100,212,0.472,0,1,0,100,211,0.474,0.472,35,43,0.814,55,144,199,22,13,26,31,109,235
6,Cole Aldrich,C,27,LAC,49,2,591,98,178,0.551,0,0,,98,178,0.551,0.551,47,69,0.681,63,142,205,39,31,52,49,113,243
7,LaMarcus Aldridge,PF,30,SAS,67,67,2041,485,949,0.511,0,16,0,485,933,0.52,0.511,231,269,0.859,157,416,573,102,30,76,89,143,1201
8,Cliff Alexander,PF,20,POR,7,0,31,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,2,4,6,0,1,2,1,0,10
9,Lavoy Allen,PF,26,IND,68,21,1394,160,315,0.508,0,0,,160,315,0.508,0.508,33,55,0.6,138,229,367,69,23,40,60,129,353
10,Tony Allen,SF,34,MEM,58,51,1478,189,412,0.459,15,38,0.395,174,374,0.465,0.477,80,125,0.64,90,179,269,63,97,16,67,162,473
11,Al-Farouq Aminu,SF,25,POR,73,73,2074,254,629,0.404,103,299,0.344,151,330,0.458,0.486,95,132,0.72,89,351,440,120,62,45,105,154,706
12,Lou Amundson,PF,33,NYK,25,0,184,19,49,0.388,0,0,,19,49,0.388,0.388,12,25,0.48,21,24,45,12,5,7,10,40,50
13,Chris Andersen,C,37,TOT,18,7,240,25,41,0.61,3,8,0.375,22,33,0.667,0.646,17,26,0.654,20,41,61,8,6,9,7,17,70
13,Chris Andersen,C,37,MIA,7,1,36,4,10,0.4,2,5,0.4,2,5,0.4,0.5,3,4,0.75,3,6,9,3,1,3,2,4,13
13,Chris Andersen,C,37,MEM,11,6,204,21,31,0.677,1,3,0.333,20,28,0.714,0.694,14,22,0.636,17,35,52,5,5,6,5,13,57
14,Alan Anderson,SG,33,WAS,9,0,130,17,41,0.415,11,28,0.393,6,13,0.462,0.549,9,11,0.818,1,18,19,9,2,1,2,17,54
15,James Anderson,SG,26,SAC,42,12,501,40,115,0.348,16,56,0.286,24,59,0.407,0.417,11,12,0.917,10,49,59,21,13,9,26,39,107
16,Justin Anderson,SG,22,DAL,45,1,388,43,114,0.377,16,57,0.281,27,57,0.474,0.447,26,33,0.788,6,66,72,14,12,14,17,26,128
17,Kyle Anderson,SF,22,SAS,68,7,1006,112,241,0.465,8,29,0.276,104,212,0.491,0.481,50,67,0.746,22,165,187,92,43,28,51,79,282
18,Ryan Anderson,PF,27,NOP,66,7,2008,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124
19,Giannis Antetokounmpo,SF,21,MIL,71,70,2511,454,898,0.506,17,84,0.202,437,814,0.537,0.515,262,361,0.726,102,440,542,288,83,98,178,231,1187
20,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,1,1,0,0,0,0,2,6
